"CubeId";"plimoinreg"
"PublishingDate";"2024-09-23 09:00"

"Date";"D0";"D1";"D2";"Value"
"1977";"BF";"RB1";"A";"53.41500166"
"1977";"BF";"RG1";"A";"54.67442055"
"1977";"BF";"US";"A";"54.80573423"
"1977";"GF";"GS";"A";"52.94199152"
"1977";"GF";"RZ";"A";"47.30768815"
"1977";"GF";"RB1";"A";"61.04533546"
"1977";"GF";"RG1";"A";"53.09182151"
"1977";"GF";"US";"A";"50.97348487"
"1978";"EW";"GS";"A";"53.62600012"
"1978";"EW";"GS";"T";
"1978";"EW";"RZ";"A";"55.73365233"
"1978";"EW";"RZ";"T";
"1978";"EW";"RO";"A";"49.27932805"
"1978";"EW";"RO";"T";
"1978";"EW";"RI";"A";"45.88056019"
"1978";"EW";"RI";"T";
"1978";"EW";"RN";"A";"45.4506464"
"1978";"EW";"RN";"T";
"1978";"EW";"RB0";"A";"57.13920488"
"1978";"EW";"RB0";"T";
"1978";"EW";"RS";"A";"56.46754726"
"1978";"EW";"RS";"T";
"1978";"EW";"RG0";"A";"53.76641978"
"1978";"EW";"RG0";"T";
"1978";"EW";"RW";"A";"50.48799474"
"1978";"EW";"RW";"T";
"1978";"EH";"GS";"A";"55.31750436"
"1978";"EH";"GS";"T";
"1978";"EH";"RZ";"A";"54.72039891"
"1978";"EH";"RZ";"T";
"1978";"EH";"RO";"A";"50.17091821"
"1978";"EH";"RO";"T";
"1978";"EH";"RI";"A";"43.81585625"
"1978";"EH";"RI";"T";
"1978";"EH";"RN";"A";"54.70759932"
"1978";"EH";"RN";"T";
"1978";"EH";"RB0";"A";"57.02095237"
"1978";"EH";"RB0";"T";
"1978";"EH";"RS";"A";"63.5131317"
"1978";"EH";"RS";"T";
"1978";"EH";"RG0";"A";"56.56626728"
"1978";"EH";"RG0";"T";
"1978";"EH";"RW";"A";"50.62008287"
"1978";"EH";"RW";"T";
"1978";"MW";"GS";"A";"48.59144343"
"1978";"MW";"RZ";"A";"55.15358108"
"1978";"MW";"RO";"A";"45.73914522"
"1978";"MW";"RI";"A";"43.98082739"
"1978";"MW";"RN";"A";"47.26033607"
"1978";"MW";"RB0";"A";"49.60064276"
"1978";"MW";"RS";"A";"48.06296641"
"1978";"MW";"RG0";"A";"45.20584381"
"1978";"MW";"RW";"A";"42.05164975"
"1978";"BF";"GS";"A";"58.1816135"
"1978";"BF";"RZ";"A";"57.83210602"
"1978";"BF";"RB1";"A";"55.02858296"
"1978";"BF";"RG1";"A";"58.29142302"
"1978";"BF";"US";"A";"57.40445382"
"1978";"GF";"GS";"A";"56.59295859"
"1978";"GF";"RZ";"A";"56.10709456"
"1978";"GF";"RB1";"A";"63.11658597"
"1978";"GF";"RG1";"A";"52.52641539"
"1978";"GF";"US";"A";"50.21076526"
"1979";"EW";"GS";"A";"57.70988917"
"1979";"EW";"GS";"T";
"1979";"EW";"RZ";"A";"61.81916967"
"1979";"EW";"RZ";"T";
"1979";"EW";"RO";"A";"51.32604967"
"1979";"EW";"RO";"T";
"1979";"EW";"RI";"A";"49.19559824"
"1979";"EW";"RI";"T";
"1979";"EW";"RN";"A";"49.75128839"
"1979";"EW";"RN";"T";
"1979";"EW";"RB0";"A";"59.11636116"
"1979";"EW";"RB0";"T";
"1979";"EW";"RS";"A";"61.30800777"
"1979";"EW";"RS";"T";
"1979";"EW";"RG0";"A";"56.40034605"
"1979";"EW";"RG0";"T";
"1979";"EW";"RW";"A";"60.97785259"
"1979";"EW";"RW";"T";
"1979";"EH";"GS";"A";"59.93001228"
"1979";"EH";"GS";"T";
"1979";"EH";"RZ";"A";"59.56304655"
"1979";"EH";"RZ";"T";
"1979";"EH";"RO";"A";"53.34197179"
"1979";"EH";"RO";"T";
