ID,type,address,city,postcode,lat,lon,rentNet,rentGross,currency,livingSpace,arePetsAllowed,hasFlatSharingCommunity,isUnderRoof,CHF/m2,title,categories,numberOfRooms,floor,yearBuilt,isNewBuilding,yearLastRenovated,hasGarage,hasParking,hasRamp,isWheelchairAccessible,isOldBuilding,hasSwimmingPool,hasFireplace,isCornerHouse,isMiddleHouse,hasGardenShed,hasLiftingPlatform,hasBalcony,hasCableTv,isGroundFloorRaised,hasNiceView,hasConnectedBuildingLand,hasElevator,isChildFriendly,distanceHighSchool,distanceKindergarten,distancePrimarySchool,distanceMotorway,distancePublicTransport,balcony,builtInKitchen,garden,offerType,personId,region
4001081795,"['APARTMENT', 'FLAT']",Delsbergerallee 1,Basel,4053,47.542071781971,7.601252311609,1554,1824,CHF,83,True,,,21.97590361445783,Altbauwohnung mit Charme,"['APARTMENT', 'FLAT']",3.5,1,1901,,1988,,,,,True,,,,,,,True,True,,,,True,,1000,500,1000,,200,,,,RENT,679,schweiz
4001086429,"['APARTMENT', 'FLAT']",Rue de la Cassarde 34,Neuchâtel,2000,46.997361781971,6.928242311609,1420,1630,CHF,72,True,,True,22.63888888888889,Magnifique vue sur les alpes et le lac,"['APARTMENT', 'FLAT']",3,5,1970,,2017,,True,,,,,,,,,,True,True,,,,True,True,1500,250,500,,15,,,,RENT,679,schweiz
4001081751,"['APARTMENT', 'FLAT']",Bahnhofstr. 31,Langenthal,4900,47.214101781978,7.785732311605,1480,1740,CHF,96,True,,,18.125,Mittendrin statt nur dabei!,"['APARTMENT', 'FLAT']",4.5,2,1983,,,True,,True,,True,,,,,,,True,True,,,,True,True,,,,,,,,,RENT,679,schweiz
4001051244,"['APARTMENT', 'FLAT']",Av. du Grey 76,Lausanne,1018,46.537261781973,6.618702311601,2090,2570,CHF,97,True,,True,26.49484536082474,Location sans caution - Appartement dans les hauts de Lausanne,"['APARTMENT', 'FLAT']",4.5,12,1973,,,True,True,,,True,,,,,,,True,True,,,,True,True,500,30,40,,30,,,,RENT,679,schweiz
4001081885,"['APARTMENT', 'FLAT']",Meisenweg 16,Biel/Bienne,2503,47.134591781979,7.260302311601,900,1100,CHF,49,True,,,22.448979591836736,Ihre Wohnoase - Mieten ohne Kaution!,"['APARTMENT', 'FLAT']",2,1,1955,,,True,,,,True,,,,,,,True,True,,,,,True,700,600,700,,200,,,,RENT,679,schweiz
4001081844,"['APARTMENT', 'FLAT']",Denkmalweg 38,Lengnau BE,2543,47.179771781975,7.374942311608,900,1100,CHF,67,True,,,16.417910447761194,Willkommen zu Hause!,"['APARTMENT', 'FLAT']",3.5,1,1973,,2003,True,True,,,True,,,,,,,,True,,,,,True,,,,,5000,,,,RENT,679,schweiz
4001081768,"['APARTMENT', 'FLAT']",Schöngrünstr. 24a,Solothurn,4500,47.201571781973,7.538522311601,1830,2130,CHF,86,,,,24.767441860465116,"Wohnen am Stadtrand, grün, ruhig und doch schnell in der Stadt!","['APARTMENT', 'FLAT']",4.5,1,1967,,1992,True,,,,,,,,,,,,,,,,,,3000,900,3600,,300,,,,RENT,679,schweiz
4001028401,"['APARTMENT', 'FLAT']",Birsweg 10,Dornach,4143,47.486551781973,7.608812311601,1728,1928,CHF,84,True,,,22.952380952380953,Moderne Wohnung an der Birs,"['APARTMENT', 'FLAT']",4,1,1971,,2012,True,True,,,,,,,,,,True,True,,,,True,True,500,300,500,,250,,,,RENT,679,schweiz
4001049445,"['APARTMENT', 'FLAT']",Länggasse 90,Thun,3600,46.749191781976,7.612732311604,1320,1600,CHF,80,,,,20.0,Wohnen im beliebten Länggassquartier,"['APARTMENT', 'FLAT']",4,1,1970,,2005,True,True,,,,,,,,,,,True,,,,True,True,1200,1500,700,,150,,,,RENT,679,schweiz
4001051243,"['APARTMENT', 'FLAT']",Av. du Grey 76,Lausanne,1018,46.537261781973,6.618702311601,2020,2530,CHF,97,True,,True,26.082474226804123,Dans les hauts de Lausanne avec dégagement,"['APARTMENT', 'FLAT']",4.5,5,1973,,,True,True,,,True,,,,,,,True,True,,,,True,True,500,30,40,,30,,,,RENT,679,schweiz
