ID,Age,Height,Weight,Year,Games_code,Team_code,City_code,Event_code
9078,17.0,155.0,48.0,2000,15,10,17,2
9078,17.0,155.0,48.0,2000,15,10,17,5
9078,17.0,155.0,48.0,2000,15,10,17,0
9207,17.0,157.0,51.0,1960,5,42,15,3
9207,17.0,157.0,51.0,1960,5,42,15,1
9207,17.0,157.0,51.0,1960,5,42,15,2
9207,17.0,157.0,51.0,1960,5,42,15,5
9207,17.0,157.0,51.0,1960,5,42,15,0
9227,18.0,163.0,50.0,1984,11,77,8,3
9227,18.0,163.0,50.0,1984,11,77,8,4
9227,18.0,163.0,50.0,1984,11,77,8,1
9227,18.0,163.0,50.0,1984,11,77,8,2
9227,18.0,163.0,50.0,1984,11,77,8,5
9227,18.0,163.0,50.0,1984,11,77,8,0
9256,16.0,0.0,0.0,1992,13,48,3,3
9256,16.0,0.0,0.0,1992,13,48,3,1
9256,16.0,0.0,0.0,1992,13,48,3,2
9256,16.0,0.0,0.0,1992,13,48,3,5
9256,16.0,0.0,0.0,1992,13,48,3,0
9294,19.0,151.0,51.0,1964,6,3,18,3
9294,19.0,151.0,51.0,1964,6,3,18,4
9294,19.0,151.0,51.0,1964,6,3,18,1
9294,19.0,151.0,51.0,1964,6,3,18,2
9294,19.0,151.0,51.0,1964,6,3,18,5
9294,19.0,151.0,51.0,1964,6,3,18,0
9346,15.0,164.0,50.0,1984,11,68,8,3
9346,15.0,164.0,50.0,1984,11,68,8,4
9346,15.0,164.0,50.0,1984,11,68,8,1
9346,15.0,164.0,50.0,1984,11,68,8,2
9346,15.0,164.0,50.0,1984,11,68,8,5
9346,15.0,164.0,50.0,1984,11,68,8,0
9492,14.0,166.0,55.0,1968,7,30,10,3
9492,14.0,166.0,55.0,1968,7,30,10,4
9492,14.0,166.0,55.0,1968,7,30,10,1
9492,14.0,166.0,55.0,1968,7,30,10,2
9492,14.0,166.0,55.0,1968,7,30,10,5
9492,14.0,166.0,55.0,1968,7,30,10,0
9492,18.0,166.0,55.0,1972,8,30,13,3
9492,18.0,166.0,55.0,1972,8,30,13,4
9492,18.0,166.0,55.0,1972,8,30,13,1
9492,18.0,166.0,55.0,1972,8,30,13,2
9492,18.0,166.0,55.0,1972,8,30,13,5
9492,18.0,166.0,55.0,1972,8,30,13,0
9537,22.0,157.0,48.0,2016,19,62,14,2
9568,15.0,151.0,41.0,1988,12,66,16,3
9568,15.0,151.0,41.0,1988,12,66,16,4
9568,15.0,151.0,41.0,1988,12,66,16,1
9568,15.0,151.0,41.0,1988,12,66,16,2
9568,15.0,151.0,41.0,1988,12,66,16,5
9568,15.0,151.0,41.0,1988,12,66,16,0
9646,23.0,144.0,40.0,1968,7,26,10,3
9646,23.0,144.0,40.0,1968,7,26,10,1
9646,23.0,144.0,40.0,1968,7,26,10,2
9646,23.0,144.0,40.0,1968,7,26,10,5
9646,23.0,144.0,40.0,1968,7,26,10,0
9683,18.0,158.0,38.0,2008,17,24,4,3
9683,18.0,158.0,38.0,2008,17,24,4,4
9683,18.0,158.0,38.0,2008,17,24,4,1
9683,18.0,158.0,38.0,2008,17,24,4,5
9940,25.0,157.0,52.0,1960,5,35,15,3
9940,25.0,157.0,52.0,1960,5,35,15,1
9940,25.0,157.0,52.0,1960,5,35,15,2
9940,25.0,157.0,52.0,1960,5,35,15,5
9940,25.0,157.0,52.0,1960,5,35,15,0
9977,20.0,164.0,52.0,1960,5,30,15,3
9977,20.0,164.0,52.0,1960,5,30,15,4
9977,20.0,164.0,52.0,1960,5,30,15,1
9977,20.0,164.0,52.0,1960,5,30,15,2
9977,20.0,164.0,52.0,1960,5,30,15,5
9977,20.0,164.0,52.0,1960,5,30,15,0
10040,19.0,164.0,58.0,1960,5,4,15,3
10040,19.0,164.0,58.0,1960,5,4,15,4
10040,19.0,164.0,58.0,1960,5,4,15,1
10040,19.0,164.0,58.0,1960,5,4,15,2
10040,19.0,164.0,58.0,1960,5,4,15,5
10040,19.0,164.0,58.0,1960,5,4,15,0
10203,18.0,163.0,53.0,2008,17,36,4,3
10203,18.0,163.0,53.0,2008,17,36,4,4
10203,18.0,163.0,53.0,2008,17,36,4,1
10203,18.0,163.0,53.0,2008,17,36,4,5
10203,18.0,163.0,53.0,2008,17,36,4,0
10408,16.0,152.0,44.0,2000,15,36,17,3
10408,16.0,152.0,44.0,2000,15,36,17,4
10408,16.0,152.0,44.0,2000,15,36,17,1
10408,16.0,152.0,44.0,2000,15,36,17,2
10408,16.0,152.0,44.0,2000,15,36,17,5
10408,16.0,152.0,44.0,2000,15,36,17,0
10408,20.0,152.0,44.0,2004,16,36,1,3
10408,20.0,152.0,44.0,2004,16,36,1,1
10408,20.0,152.0,44.0,2004,16,36,1,2
10408,20.0,152.0,44.0,2004,16,36,1,5
10408,20.0,152.0,44.0,2004,16,36,1,0
10408,24.0,152.0,44.0,2008,17,36,4,3
10408,24.0,152.0,44.0,2008,17,36,4,4
10408,24.0,152.0,44.0,2008,17,36,4,0
10451,16.0,163.0,52.0,2012,18,25,7,4
10451,16.0,163.0,52.0,2012,18,25,7,1
10451,16.0,163.0,52.0,2012,18,25,7,2
10451,16.0,163.0,52.0,2012,18,25,7,5
10483,18.0,0.0,0.0,1952,3,67,6,3
10483,18.0,0.0,0.0,1952,3,67,6,4
10483,18.0,0.0,0.0,1952,3,67,6,1
10483,18.0,0.0,0.0,1952,3,67,6,2
10483,18.0,0.0,0.0,1952,3,67,6,5
10483,18.0,0.0,0.0,1952,3,67,6,0
10483,22.0,0.0,0.0,1956,4,67,9,3
10483,22.0,0.0,0.0,1956,4,67,9,4
10483,22.0,0.0,0.0,1956,4,67,9,1
