Name,Sex,Age,Height,Weight,NOC,Year,Event,Medal
Cheng Fei,F,16.0,152.0,43.0,CHN,2004,Vault,none
Cheng Fei,F,20.0,152.0,43.0,CHN,2008,Vault,Bronze
Anna Sergeyevna Chepeleva,F,16.0,,,RUS,2000,Vault,none
Choe Jong-Sil,F,14.0,141.0,30.0,PRK,1980,Vault,none
Choi Gyong-Hui,F,19.0,,,PRK,1992,Vault,none
Choi Mi-Seon,F,20.0,160.0,56.0,KOR,2000,Vault,none
Choi Myong-Hui,F,14.0,135.0,25.0,PRK,1980,Vault,none
Choi Yeong-Suk,F,17.0,153.0,48.0,KOR,1964,Vault,none
Magorzata Chojnacka (-Gawe),F,21.0,161.0,51.0,POL,1968,Vault,none
Amy Yuen-Yee Chow (-Ho),F,18.0,155.0,44.0,USA,1996,Vault,none
Amy Yuen-Yee Chow (-Ho),F,22.0,155.0,44.0,USA,2000,Vault,none
Oksana Aleksandrovna Chusovitina,F,17.0,153.0,43.0,EUN,1992,Vault,none
Oksana Aleksandrovna Chusovitina,F,21.0,153.0,43.0,UZB,1996,Vault,none
Oksana Aleksandrovna Chusovitina,F,25.0,153.0,43.0,UZB,2000,Vault,none
Oksana Aleksandrovna Chusovitina,F,29.0,153.0,43.0,UZB,2004,Vault,none
Oksana Aleksandrovna Chusovitina,F,33.0,153.0,43.0,GER,2008,Vault,Silver
Oksana Aleksandrovna Chusovitina,F,37.0,153.0,43.0,GER,2012,Vault,none
Oksana Aleksandrovna Chusovitina,F,41.0,153.0,43.0,UZB,2016,Vault,none
Miranda Cicognani,F,15.0,155.0,51.0,ITA,1952,Vault,none
Miranda Cicognani,F,20.0,155.0,51.0,ITA,1956,Vault,none
Miranda Cicognani,F,23.0,155.0,51.0,ITA,1960,Vault,none
Rosella Cicognani,F,17.0,158.0,49.0,ITA,1956,Vault,none
Rosella Cicognani,F,20.0,158.0,49.0,ITA,1960,Vault,none
Melinda Cleland,F,15.0,153.0,49.0,AUS,2000,Vault,none
Suzanne Cloutier,F,21.0,149.0,46.0,CAN,1968,Vault,none
Wendy Linnelle Cluff (-Perez),F,17.0,163.0,55.0,USA,1968,Vault,none
Maria Cocuzza,F,15.0,165.0,55.0,ITA,1988,Vault,none
Marie-Angline Colson,F,16.0,152.0,43.0,FRA,1992,Vault,none
Nadia Elena Comneci (-Conner),F,14.0,162.0,45.0,ROU,1976,Vault,none
Nadia Elena Comneci (-Conner),F,18.0,162.0,45.0,ROU,1980,Vault,none
Camila Comin,F,17.0,157.0,46.0,BRA,2000,Vault,none
Camila Comin,F,21.0,157.0,46.0,BRA,2004,Vault,none
Mariana Constantin,F,15.0,160.0,46.0,ROU,1976,Vault,none
Michelle Lenore Conway,F,16.0,153.0,42.0,CAN,2000,Vault,none
"Kathleen Margaret ""Kathy"" Corrigan (-Ekas)",F,19.0,160.0,50.0,USA,1964,Vault,none
Cludia de Paula Costa Magalhes,F,18.0,156.0,46.0,BRA,1980,Vault,none
Francesca Costa,F,21.0,155.0,54.0,ITA,1960,Vault,none
Monica Covacci (-Gray),F,16.0,154.0,44.0,CAN,1988,Vault,none
"Johanna ""Jo"" Cox-Ladru (-Poot)",F,29.0,,,NED,1952,Vault,none
Adriana Crisci,F,18.0,148.0,45.0,ITA,2000,Vault,none
Erika Csnyi,F,15.0,152.0,40.0,HUN,1980,Vault,none
Mnika Csszr,F,17.0,166.0,55.0,HUN,1972,Vault,none
Zsuzsa Csisztu,F,18.0,161.0,46.0,HUN,1988,Vault,none
Maria Helena Pacheco Cunha,F,16.0,168.0,63.0,POR,1960,Vault,none
Barbara Cunningham (Conduit-),F,30.0,,,AUS,1956,Vault,none
Marta Cusid Muntada,F,17.0,155.0,49.0,ESP,2000,Vault,none
Laura Cutina,F,15.0,143.0,36.0,ROU,1984,Vault,none
Dlia Vieirinho da Cunha-Sammer,F,23.0,164.0,63.0,POR,1952,Vault,none
Dlia Vieirinho da Cunha-Sammer,F,31.0,164.0,63.0,POR,1960,Vault,none
