Name,Country,uneven_score,uneven_rank,bb_score,bb_rank,floor_score,floor_rank,vault1_score,vault2_score,vault_avg_score,vault_rank,total_score,total_rank
Elisabeth Seitz,GER,14.7,7.0,12.333,56.0,12.933,31.0,14.266,0.0,0.0,0.0,54.232,19.0
Sarah Voss,GER,13.866,27.0,12.266,59.0,12.6,50.0,13.5,0.0,0.0,0.0,52.232,45.0
Ellie Black,CAN,12.8,54.0,14.1,6.0,12.266,63.0,14.533,14.3,14.416,12.0,53.699,24.0
Brooklyn Moors,CAN,13.0,46.0,13.3,25.0,13.533,15.0,14.133,0.0,0.0,0.0,53.966,22.0
Shallon Olsen,CAN,11.9,68.0,12.066,66.0,13.033,29.0,14.966,14.433,14.699,6.0,51.965,46.0
Ava Stewart,CAN,12.9,50.0,12.0,67.0,12.6,51.0,12.933,0.0,0.0,0.0,50.433,58.0
Eythora Thorsdottir,NED,13.0,47.0,12.333,57.0,13.133,27.0,14.433,0.0,0.0,0.0,52.899,36.0
Vera van Pol,NED,13.133,41.0,11.6,75.0,12.9,33.0,14.1,0.0,0.0,0.0,51.733,47.0
Lieke Wevers,NED,13.533,34.0,13.366,23.0,12.866,35.0,13.6,0.0,0.0,0.0,53.365,32.0
Sanne Wevers,NED,11.733,69.0,13.866,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Laura Bechdejú,ESP,12.7,56.0,12.666,45.0,12.3,62.0,13.533,0.0,0.0,0.0,51.199,53.0
Marina González,ESP,11.033,81.0,12.366,55.0,12.866,36.0,13.233,0.0,0.0,0.0,49.498,63.0
Alba Petisco,ESP,12.866,51.0,11.7,73.0,12.566,53.0,13.466,0.0,0.0,0.0,50.598,57.0
Roxana Popa,ESP,14.4,15.0,12.866,40.0,12.533,55.0,14.3,0.0,0.0,0.0,54.099,21.0
