Rank,Athlete,FX,PH,SR,VT,PB,HB,AA
NR,Vinzenz Höck Austria,0,0,14.6,0,0,0,14.6
NR,Artur Avetisyan Armenia,0,0,14.433,0,0,0,14.433
NR,Vahagn Davtyan Armenia,0,0,14.433,0,0,0,14.433
NR,Tin Srbic Croatia,0,0,0,0,0,14.433,14.433
NR,Vedant Sawant Australia,0,14.4,0,0,0,0,14.4
NR,Matvei Petrov Albania,0,14.4,0,0,0,0,14.4
NR,Tseng Wei-Sheng Taiwan,0,0,0,14.233,0,0,14.233
NR,Lin Guan-Yi Taiwan,0,0,14.166,0,0,0,14.166
NR,Nariman Kurbanov Kazakhstan,0,14.133,0,0,0,0,14.133
NR,Filip Lidbeck Sweden,14.133,0,0,0,0,0,14.133
NR,Tyson Bull Australia,0,0,0,0,0,13.966,13.966
NR,Radomir Sliz Czechia,0,13.8,0,0,0,0,13.8
NR,Dmitrijs Mickevics Latvia,0,13.7,0,0,0,0,13.7
NR,Jayson Rampersad Canada,0,13.633,0,0,0,0,13.633
NR,Ivan Dejanovic Serbia,0,0,0,0,0,13.433,13.433
NR,Guilherme Campos Portugal,13.333,0,0,0,0,0,13.333
NR,Shiao Yu-Jan Taiwan,0,13.3,0,0,0,0,13.3
NR,Marios Georgiou Cyprus,0,0,0,0,0,13.233,13.233
NR,Filip Ude Croatia,0,13.133,0,0,0,0,13.133
NR,Quentin Brandenburger Luxembourg,0,0,0,0,13.066,0,13.066
NR,Sokratis Pilakouris Cyprus,0,0,13.033,0,0,0,13.033
NR,Stefanos Tsolakidis Greece,0,0,0,0,12.933,0,12.933
NR,Dagur Olafsson Iceland,0,12.533,0,0,0,0,12.533
NR,Kim Wanström Sweden,12.5,0,0,0,0,0,12.5
NR,Eamon Montgomery Ireland,12.5,0,0,0,0,0,12.5
NR,Ondrej Kalny Czechia,0,0,0,11.8,0,0,11.8
NR,Akseli Karsikas Finland,9.566,0,0,0,0,0,9.566
