Rank,D,E,ND,Total,D2,E2,ND2,Total2,Average,year,medal,Name,Nation,round_2015,round_final
5.0,5.4,8.75,0.0,14.15,4.2,8.8,0.0,13.0,13.575,2020.0,0,37,37,False,True
6.0,4.6,9.0,0.0,13.6,4.6,8.75,0.0,13.35,13.475,2020.0,0,19,37,False,True
7.0,4.6,8.8,0.0,13.4,4.6,8.5,0.0,13.1,13.25,2020.0,0,26,37,False,True
8.0,4.6,8.6,0.0,13.2,4.6,8.65,0.0,13.25,13.225,2020.0,0,72,37,False,True
1.0,6.0,8.7,0.0,14.7,5.8,9.2,0.0,15.0,14.85,2017.0,0,48,38,False,True
2.0,5.8,9.0,0.0,14.8,5.6,9.133,0.0,14.733,14.766,2017.0,0,39,38,False,True
3.0,5.8,8.933,-0.1,14.633,5.4,8.9,0.0,14.3,14.466,2017.0,0,32,38,False,True
4.0,5.4,9.166,0.0,14.566,5.2,9.066,0.0,14.266,14.416,2017.0,0,27,38,False,True
5.0,5.4,9.033,0.0,14.433,5.2,9.1,0.0,14.3,14.366,2017.0,0,56,38,False,True
6.0,5.6,8.9,0.0,14.5,5.8,8.5,-0.1,14.2,14.35,2017.0,0,77,38,False,True
7.0,5.8,7.833,-0.1,13.533,6.0,8.933,0.0,14.933,14.233,2017.0,0,67,38,False,True
8.0,5.8,8.7,0.0,14.5,5.4,7.7,0.0,13.1,13.8,2017.0,0,63,38,False,True
4.0,5.8,8.6,0.0,14.4,5.2,9.0,0.0,14.2,14.3,2018.0,0,56,38,False,True
5.0,5.8,8.833,0.1,14.533,5.4,8.533,0.0,13.933,14.233,2018.0,1,79,38,False,True
6.0,5.6,8.6,0.1,14.1,5.8,8.4,0.0,14.2,14.15,2018.0,0,45,38,False,True
7.0,5.4,8.6,0.0,14.0,5.2,9.033,0.0,14.233,14.116,2018.0,0,27,38,False,True
8.0,5.8,7.566,0.3,13.066,5.8,8.366,0.0,14.166,13.616,2018.0,0,61,38,False,True
1.0,6.0,9.333,0.0,15.333,5.8,9.666,0.0,15.466,15.399,2019.0,0,68,38,False,True
2.0,6.0,9.166,0.0,15.166,5.8,9.1,0.3,14.6,14.883,2019.0,0,39,38,False,True
