"TIME_PERIOD","GEO","INDICATOR","VALUE"
"2020","CH","4",42.8
"2020","CH","5",50.3
"2020","CH","6",60.2
"2020","CH040","Total",44.9
"2020","CH040","1",33.0
"2020","CH040","2",45.8
"2020","CH040","3",42.7
"2020","CH040","4",40.5
"2020","CH040","5",48.9
"2020","CH040","6",60.1
"2020","CH021","Total",46.5
"2020","CH021","1",29.6
"2020","CH021","2",43.0
"2020","CH021","3",43.7
"2020","CH021","4",43.7
"2020","CH021","5",50.2
"2020","CH021","6",58.4
"2020","CH061","Total",47.0
"2020","CH061","1",32.0
"2020","CH061","2",46.2
"2020","CH061","3",46.8
"2020","CH061","4",42.8
"2020","CH061","5",48.7
"2020","CH061","6",55.9
"2020","CH062","Total",47.1
"2020","CH062","1",27.4
"2020","CH062","2",41.6
"2020","CH062","3",46.7
"2020","CH062","4",44.7
"2020","CH062","5",47.4
"2020","CH062","6",54.0
"2020","CH063","Total",50.2
"2020","CH063","1",31.2
"2020","CH063","2",45.6
"2020","CH063","3",48.7
"2020","CH063","4",46.7
"2020","CH063","5",52.0
"2020","CH063","6",60.1
"2020","CH064","Total",49.0
"2020","CH064","1",26.3
"2020","CH064","2",43.9
"2020","CH064","3",47.3
"2020","CH064","4",45.6
"2020","CH064","5",50.6
"2020","CH064","6",58.3
"2020","CH065","Total",50.3
"2020","CH065","1",28.3
"2020","CH065","2",45.8
"2020","CH065","3",50.1
"2020","CH065","4",47.5
"2020","CH065","5",52.2
"2020","CH065","6",59.4
"2020","CH051","Total",50.3
"2020","CH051","1",31.9
"2020","CH051","2",46.6
"2020","CH051","3",46.7
"2020","CH051","4",44.9
"2020","CH051","5",51.3
"2020","CH051","6",63.8
"2020","CH066","Total",47.6
"2020","CH066","1",30.7
"2020","CH066","2",47.1
"2020","CH066","3",47.5
"2020","CH066","4",43.8
"2020","CH066","5",49.1
"2020","CH066","6",60.9
"2020","CH022","Total",45.7
"2020","CH022","1",26.8
"2020","CH022","2",41.7
"2020","CH022","3",41.4
"2020","CH022","4",42.3
"2020","CH022","5",49.8
"2020","CH022","6",57.8
"2020","CH023","Total",50.2
"2020","CH023","1",31.9
"2020","CH023","2",46.0
"2020","CH023","3",45.9
"2020","CH023","4",45.4
"2020","CH023","5",53.7
"2020","CH023","6",62.3
"2020","CH031","Total",41.5
"2020","CH031","1",29.3
"2020","CH031","2",41.2
"2020","CH031","3",39.3
"2020","CH031","4",38.9
"2020","CH031","5",46.7
"2020","CH031","6",60.6
