Rank,Athlete,Nation,FX,PH,SR,VT,PB,HB,AA,round,year
1,sam mikulak,Unknown,14.6,14.5,13.85,14.15,15.35,14.35,86.8,final,
2,shane wiskus,Unknown,14.2,13.4,14.35,14.45,14.5,13.65,84.55,final,
3,brody malone,Unknown,13.7,13.95,13.8,14.4,14.6,13.5,83.95,final,
4,grant breckenridge,Unknown,13.85,13.35,13.9,14.1,14.6,14.1,83.9,final,
5,yul moldauer,Unknown,13.85,14.2,13.9,14.3,14.1,12.0,82.35,final,
5,allan bower,Unknown,13.25,14.55,13.8,13.75,13.55,13.45,82.35,final,
7,colin van wicklen,Unknown,13.9,12.3,14.15,13.7,13.7,13.95,81.7,final,
8,paul juda,Unknown,13.85,12.65,13.6,14.3,13.6,13.65,81.65,final,
9,isaiah drake,Unknown,13.65,13.4,13.5,13.95,13.7,13.35,81.55,final,
10,robert neff,Unknown,13.2,14.15,13.15,14.1,13.9,13.0,81.5,final,
10,ian gunther,Unknown,13.3,13.8,14.0,13.55,13.65,13.2,81.5,final,
12,gage dyer,Unknown,14.4,12.75,12.7,14.2,13.85,13.4,81.3,final,
13,sean melton,Unknown,13.25,13.5,14.4,13.85,14.1,12.15,81.25,final,
13,cameron bock,Unknown,14.35,13.05,14.05,13.5,13.85,12.45,81.25,final,
15,akash modi,Unknown,13.9,13.1,12.8,14.15,14.05,13.15,81.15,final,
16,brandon briones,Unknown,13.75,13.3,13.05,14.3,13.55,13.1,81.05,final,
17,nicolas kuebler,Unknown,13.9,13.9,13.1,13.65,12.95,13.5,81.0,final,
18,riley loos,Unknown,13.75,13.3,14.15,14.15,12.45,12.6,80.4,final,
