Rank,D,E,ND,Total,year,medal,Name,Nation,round_final,round_qual
10,5.7,7.533,0.0,13.233,2019,0,163,38,False,True
11,4.9,8.2,0.0,13.1,2019,0,233,32,False,True
12,5.5,6.9,0.0,12.4,2019,0,37,47,False,True
13,5.0,6.1,0.0,11.1,2019,0,222,73,False,True
1,6.4,8.59,0.0,29.4,2020,0,206,69,True,False
1,6.5,7.55,0.0,29.4,2020,0,206,69,True,False
2,5.4,9.2,0.0,29.05,2020,0,82,69,True,False
2,5.7,8.75,0.0,29.05,2020,0,82,69,True,False
3,6.1,8.0,0.0,28.2,2020,0,249,69,True,False
3,5.9,8.2,0.0,28.2,2020,0,249,69,True,False
4,6.1,7.95,0.0,27.95,2020,0,9,69,True,False
4,6.1,7.8,0.0,27.95,2020,0,9,69,True,False
5,5.8,8.1,0.0,27.5,2020,0,200,69,True,False
5,5.8,7.8,0.0,27.5,2020,0,200,69,True,False
6,5.7,8.0,0.0,27.1,2020,0,45,69,True,False
6,5.7,7.7,0.0,27.1,2020,0,45,69,True,False
7,5.6,8.1,0.0,27.05,2020,0,46,69,True,False
7,5.5,7.85,0.0,27.05,2020,0,46,69,True,False
7,5.3,8.55,0.0,27.05,2020,0,79,69,True,False
7,5.3,7.9,0.0,27.05,2020,0,79,69,True,False
9,5.5,8.15,0.0,27.0,2020,0,90,69,True,False
9,5.5,7.85,0.0,27.0,2020,0,90,69,True,False
10,5.6,8.25,0.0,26.9,2020,0,128,69,True,False
10,5.2,7.85,0.0,26.9,2020,0,128,69,True,False
10,5.3,8.4,0.0,26.9,2020,0,99,69,True,False
10,5.2,8.0,0.0,26.9,2020,0,99,69,True,False
12,5.4,8.2,0.0,26.8,2020,0,184,69,True,False
12,5.4,7.8,0.0,26.8,2020,0,184,69,True,False
13,5.7,8.15,0.0,26.75,2020,0,39,69,True,False
13,5.7,7.2,0.0,26.75,2020,0,39,69,True,False
14,6.0,8.1,0.0,26.55,2020,0,210,69,True,False
14,6.0,6.45,0.0,26.55,2020,0,210,69,True,False
15,5.9,7.15,0.0,26.2,2020,0,225,69,True,False
15,5.9,7.25,0.0,26.2,2020,0,225,69,True,False
16,5.6,7.05,0.0,25.5,2020,0,5,69,True,False
16,5.7,7.15,0.0,25.5,2020,0,5,69,True,False
17,5.0,7.95,0.0,24.5,2020,0,170,69,True,False
17,4.5,7.05,0.0,24.5,2020,0,170,69,True,False
18,4.7,7.75,0.0,24.4,2020,0,159,69,True,False
18,4.7,7.25,0.0,24.4,2020,0,159,69,True,False
