Rank,D,E,ND,Total,year,medal,Name,Nation,round_final,round_qual
2,6.3,6.9,0.0,27.55,2020,0,221,74,True,False
3,5.0,8.65,0.0,27.5,2020,0,199,74,True,False
3,5.0,8.85,0.0,27.5,2020,0,199,74,True,False
4,6.1,7.45,0.0,27.4,2020,0,167,74,True,False
4,6.3,7.55,0.0,27.4,2020,0,167,74,True,False
5,5.6,8.5,0.0,27.0,2020,0,90,74,True,False
5,5.9,7.0,0.0,27.0,2020,0,90,74,True,False
6,4.9,8.3,0.0,26.65,2020,0,100,74,True,False
6,4.9,8.55,0.0,26.65,2020,0,100,74,True,False
7,5.7,7.95,0.0,26.6,2020,0,227,74,True,False
7,5.9,7.05,0.0,26.6,2020,0,227,74,True,False
8,4.2,9.3,0.0,26.55,2020,0,187,74,True,False
8,4.2,8.85,0.0,26.55,2020,0,187,74,True,False
8,5.2,8.2,0.0,26.55,2020,0,86,74,True,False
8,5.2,7.95,0.0,26.55,2020,0,86,74,True,False
10,4.7,8.65,0.0,26.5,2020,0,108,74,True,False
10,4.4,8.75,0.0,26.5,2020,0,108,74,True,False
11,5.3,8.15,0.0,26.3,2020,0,19,74,True,False
11,5.5,7.35,0.0,26.3,2020,0,19,74,True,False
12,6.0,7.0,0.0,25.55,2020,0,215,74,True,False
12,6.0,6.55,0.0,25.55,2020,0,215,74,True,False
13,4.4,8.35,0.0,25.4,2020,0,51,74,True,False
13,4.4,8.25,0.0,25.4,2020,0,51,74,True,False
14,6.0,7.15,0.0,25.2,2020,0,9,74,True,False
14,5.6,6.45,0.0,25.2,2020,0,9,74,True,False
15,4.7,7.3,0.0,25.1,2020,0,262,74,True,False
15,5.4,7.7,0.0,25.1,2020,0,262,74,True,False
16,4.8,6.6,0.0,25.0,2020,0,140,74,True,False
16,5.1,8.5,0.0,25.0,2020,0,140,74,True,False
16,4.9,6.75,0.0,25.0,2020,0,87,74,True,False
16,5.6,7.75,0.0,25.0,2020,0,87,74,True,False
18,5.0,7.2,0.0,24.7,2020,0,168,74,True,False
18,5.0,7.5,0.0,24.7,2020,0,168,74,True,False
19,5.1,7.4,0.0,24.6,2020,0,12,74,True,False
19,4.8,7.3,0.0,24.6,2020,0,12,74,True,False
20,4.9,7.55,0.0,24.35,2020,0,44,74,True,False
20,5.2,6.7,0.0,24.35,2020,0,44,74,True,False
