Rank,D,E,ND,Total,year,medal,Name,Nation,round_final,round_qual
114,4.6,7.433,0.0,12.033,2019,0,224,75,False,True
115,4.7,7.333,0.0,12.033,2019,0,254,51,False,True
116,4.9,7.133,0.0,12.033,2019,0,24,57,False,True
117,5.1,6.933,0.0,12.033,2019,0,240,62,False,True
118,4.9,7.1,0.0,12.0,2019,0,219,73,False,True
119,5.6,6.4,0.0,12.0,2019,0,123,75,False,True
120,4.7,7.266,0.0,11.966,2019,0,43,63,False,True
121,4.7,7.233,0.0,11.933,2019,0,227,25,False,True
122,6.3,5.583,0.0,11.833,2019,0,234,32,False,True
123,5.0,6.866,0.0,11.866,2019,0,94,75,False,True
124,4.6,7.233,0.0,11.833,2019,0,122,4,False,True
125,4.3,7.5,0.0,11.8,2019,0,188,40,False,True
126,4.7,7.1,0.0,11.8,2019,0,202,28,False,True
127,5.0,6.8,0.0,11.8,2019,0,215,75,False,True
128,5.2,6.6,0.0,11.8,2019,0,126,53,False,True
129,3.8,7.966,0.0,11.766,2019,0,264,34,False,True
130,4.2,7.566,0.0,11.766,2019,0,252,75,False,True
131,5.1,6.6,0.0,11.7,2019,0,197,36,False,True
131,5.1,6.6,0.0,11.7,2019,0,168,14,False,True
133,3.8,7.866,0.0,11.666,2019,0,192,69,False,True
134,4.7,6.966,0.0,11.666,2019,0,260,12,False,True
135,3.9,7.733,0.0,11.633,2019,0,151,74,False,True
136,4.1,7.5,0.0,11.6,2019,0,77,25,False,True
137,4.3,7.266,0.0,11.566,2019,0,278,10,False,True
138,5.1,6.466,0.0,11.566,2019,0,208,25,False,True
139,3.9,7.633,0.0,11.533,2019,0,280,69,False,True
140,4.1,7.433,0.0,11.533,2019,0,85,55,False,True
141,4.4,7.133,0.0,11.533,2019,0,166,55,False,True
142,4.4,7.1,0.0,11.5,2019,0,15,5,False,True
143,4.9,6.6,0.0,11.5,2019,0,226,42,False,True
144,4.9,6.6,0.0,11.5,2019,0,269,42,False,True
145,5.0,6.433,0.0,11.433,2019,0,164,7,False,True
146,3.9,7.5,0.0,11.4,2019,0,220,59,False,True
147,5.1,6.3,0.0,11.4,2019,0,198,36,False,True
148,4.0,7.366,0.0,11.366,2019,0,146,66,False,True
149,4.1,7.233,0.0,11.333,2019,0,189,4,False,True
150,4.2,7.133,0.0,11.333,2019,0,229,16,False,True
151,3.3,7.9,0.0,11.2,2019,0,142,48,False,True
152,3.8,7.366,0.0,11.166,2019,0,132,68,False,True
153,4.0,7.166,0.0,11.166,2019,0,25,15,False,True
154,4.2,6.966,0.0,11.166,2019,0,72,52,False,True
155,5.0,6.133,0.0,11.133,2019,0,191,6,False,True
156,4.3,6.7,0.0,11.0,2019,0,64,2,False,True
157,4.8,6.2,0.0,11.0,2019,0,42,27,False,True
158,3.8,7.175,0.0,10.975,2019,0,253,15,False,True
159,4.7,6.266,0.0,10.966,2019,0,75,8,False,True
160,4.3,6.633,0.0,10.933,2019,0,203,7,False,True
160,4.3,6.633,0.0,10.933,2019,0,261,43,False,True
162,4.8,6.1,0.0,10.9,2019,0,124,67,False,True
162,4.8,6.1,0.0,10.9,2019,0,10,69,False,True
164,4.4,6.466,0.0,10.866,2019,0,221,37,False,True
165,5.0,5.841,0.0,10.841,2019,0,218,17,False,True
166,4.1,6.733,0.0,10.833,2019,0,81,46,False,True
167,4.5,6.133,0.0,10.633,2019,0,22,59,False,True
168,4.9,5.733,0.0,10.633,2019,0,39,30,False,True
169,5.6,5.033,0.0,10.633,2019,0,119,11,False,True
170,2.7,7.9,0.0,10.6,2019,0,267,42,False,True
171,4.6,6.0,0.0,10.6,2019,0,63,19,False,True
172,5.2,5.366,0.0,10.566,2019,0,248,51,False,True
173,3.6,6.933,0.0,10.533,2019,0,5,31,False,True
174,4.1,6.433,0.0,10.533,2019,0,268,59,False,True
175,3.9,6.6,0.0,10.5,2019,0,149,27,False,True
175,3.9,6.6,0.0,10.5,2019,0,235,38,False,True
177,5.5,5.0,0.0,10.5,2019,0,8,38,False,True
178,3.5,6.866,0.0,10.366,2019,0,82,23,False,True
179,3.3,7.0,0.0,10.3,2019,0,206,42,False,True
180,3.4,6.733,0.0,10.133,2019,0,107,18,False,True
181,3.6,6.533,0.0,10.133,2019,0,89,19,False,True
182,4.0,6.1,0.0,10.1,2019,0,35,31,False,True
183,4.0,6.0,0.0,10.0,2019,0,48,37,False,True
184,3.3,6.6,0.0,9.9,2019,0,41,56,False,True
185,4.2,5.633,0.0,9.833,2019,0,79,47,False,True
186,5.1,4.7,0.0,9.8,2019,0,225,75,False,True
187,4.0,5.633,0.0,9.633,2019,0,134,21,False,True
188,4.7,4.833,0.0,9.533,2019,0,177,5,False,True
189,4.0,5.5,0.0,9.5,2019,0,212,63,False,True
190,2.9,6.566,0.0,9.466,2019,0,140,66,False,True
191,4.1,5.266,0.0,9.366,2019,0,131,57,False,True
192,3.6,5.716,0.0,9.316,2019,0,259,59,False,True
193,3.4,5.666,0.0,9.066,2019,0,265,71,False,True
194,3.4,5.566,0.0,8.966,2019,0,110,27,False,True
195,3.5,5.133,0.0,8.633,2019,0,129,12,False,True
196,3.0,5.166,0.0,8.166,2019,0,182,41,False,True
197,3.6,4.133,0.0,7.733,2019,0,30,53,False,True
198,2.9,4.1,0.0,7.0,2019,0,18,41,False,True
199,3.3,2.7,0.0,6.0,2019,0,233,41,False,True
200,2.4,6.933,-4.0,5.333,2019,0,172,34,False,True
201,2.4,6.133,-4.0,4.533,2019,0,194,44,False,True
202,3.3,5.2,-4.0,4.5,2019,0,93,71,False,True
203,2.6,5.0,-4.0,3.6,2019,0,2,29,False,True
204,2.0,4.4,-4.0,2.4,2019,0,193,44,False,True
205,2.0,4.466,-6.3,0.166,2019,0,217,50,False,True
1,6.5,8.766,0.0,15.266,2019,1,153,75,True,False
2,6.5,8.733,0.0,15.233,2019,0,273,13,True,False
3,6.5,8.166,0.0,14.666,2019,0,262,39,True,False
4,6.1,7.6,0.0,13.7,2019,0,256,11,True,False
5,5.9,7.233,0.0,13.133,2019,0,84,69,True,False
6,6.2,6.566,0.0,12.766,2019,0,44,49,True,False
7,5.6,7.1,0.0,12.7,2019,0,12,40,True,False
8,6.2,5.833,0.0,12.033,2019,0,59,26,True,False
1,6.2,8.833,0.0,15.033,2019,0,273,13,False,True
2,6.2,8.7,0.0,14.9,2019,1,153,75,False,True
3,6.5,8.233,0.0,14.733,2019,0,262,39,False,True
4,6.1,8.133,0.0,14.233,2019,0,256,11,False,True
5,6.0,8.2,0.0,14.2,2019,0,12,40,False,True
6,5.7,8.033,0.0,13.733,2019,0,84,69,False,True
7,5.9,7.733,0.0,13.633,2019,0,44,49,False,True
8,5.8,7.8,0.0,13.6,2019,0,59,26,False,True
9,5.8,7.666,0.0,13.466,2019,0,175,16,False,True
10,5.9,7.533,0.0,13.433,2019,0,195,40,False,True
11,5.3,7.733,0.0,13.033,2019,0,10,69,False,True
12,6.1,6.6,0.0,12.7,2019,0,100,39,False,True
13,6.0,6.333,0.0,12.333,2019,0,55,4,False,True
14,5.3,6.666,0.0,11.966,2019,0,17,35,False,True
15,5.1,6.633,0.0,11.733,2019,0,160,26,False,True
16,5.4,6.2,0.0,11.6,2019,0,185,4,False,True
17,5.2,6.366,0.0,11.566,2019,0,105,75,False,True
18,5.8,5.466,0.0,11.266,2019,0,121,16,False,True
1,6.1,8.6,0.0,30.0,2020,0,13,72,True,False
1,6.5,8.8,0.0,30.0,2020,0,13,72,True,False
2,6.1,8.45,0.0,29.0,2020,0,19,72,True,False
2,6.1,8.35,0.0,29.0,2020,0,19,72,True,False
3,6.0,8.5,0.0,28.85,2020,0,236,72,True,False
3,6.2,8.15,0.0,28.85,2020,0,236,72,True,False
4,5.6,8.6,0.0,28.2,2020,0,279,72,True,False
4,5.9,8.1,0.0,28.2,2020,0,279,72,True,False
5,5.3,8.5,0.0,27.75,2020,0,106,72,True,False
5,5.3,8.65,0.0,27.75,2020,0,106,72,True,False
6,6.1,6.9,0.0,27.6,2020,0,74,72,True,False
