Rank,FX,PH,SR,VT,PB,HB,AA,year,Nation,Name,round_final,round_qual
,12.2,12.966,0.0,13.4,0.0,14.833,53.399,2022,,363,False,True
,0.0,12.4,12.766,0.0,14.4,13.633,53.199,2022,,339,False,True
,13.366,0.0,0.0,13.6,13.3,12.333,52.599,2022,,250,False,True
,0.0,11.433,13.033,0.0,14.3,13.433,52.199,2022,,155,False,True
,12.7,0.0,0.0,13.633,13.666,11.733,51.732,2022,,307,False,True
,12.233,0.0,13.566,0.0,13.833,12.033,51.665,2022,,254,False,True
,0.0,14.2,12.8,0.0,13.866,10.733,51.599,2022,,418,False,True
,10.366,13.0,13.833,14.2,0.0,0.0,51.399,2022,,232,False,True
,12.433,12.233,0.0,13.6,12.566,0.0,50.832,2022,,327,False,True
,11.866,11.833,12.633,14.3,0.0,0.0,50.632,2022,,124,False,True
,0.0,13.0,12.1,0.0,12.566,12.866,50.532,2022,,229,False,True
,0.0,11.9,12.766,0.0,11.733,13.833,50.232,2022,,237,False,True
,12.0,12.766,0.0,0.0,12.4,12.766,49.932,2022,,0,False,True
,13.8,9.966,0.0,13.866,0.0,12.066,49.698,2022,,14,False,True
,0.0,11.666,12.8,0.0,12.166,12.166,48.798,2022,,306,False,True
,11.633,9.9,0.0,13.566,11.066,0.0,46.165,2022,,402,False,True
,0.0,0.0,14.5,0.0,15.433,14.4,44.333,2022,,206,False,True
,0.0,14.833,13.166,0.0,13.766,0.0,41.765,2022,,234,False,True
,14.266,13.3,0.0,13.666,0.0,0.0,41.232,2022,,51,False,True
,14.066,0.0,12.9,14.2,0.0,0.0,41.166,2022,,417,False,True
,13.0,13.866,0.0,14.133,0.0,0.0,40.999,2022,,34,False,True
,13.933,0.0,13.6,13.433,0.0,0.0,40.966,2022,,323,False,True
,14.1,11.933,0.0,14.4,0.0,0.0,40.433,2022,,401,False,True
,0.0,13.5,0.0,0.0,14.366,12.4,40.266,2022,,375,False,True
,0.0,12.533,0.0,0.0,13.866,13.7,40.099,2022,,367,False,True
,0.0,12.2,0.0,0.0,13.2,14.333,39.733,2022,,386,False,True
,0.0,0.0,11.866,0.0,12.766,14.333,38.965,2022,,270,False,True
,11.866,0.0,13.6,0.0,13.466,0.0,38.932,2022,,416,False,True
,0.0,11.733,13.366,0.0,0.0,12.466,37.565,2022,,381,False,True
,0.0,0.0,0.0,13.7,13.566,10.066,37.332,2022,,168,False,True
,13.033,11.066,0.0,13.1,0.0,0.0,37.199,2022,,178,False,True
,0.0,0.0,14.666,0.0,15.7,0.0,30.366,2022,,422,False,True
