Rank,D,E,ND,Total,year,medal,Name,Nation,round_final,round_qual
19,5.3,7.45,0.0,25.85,2020,0,77,77,1,0
20,5.3,7.95,0.0,25.4,2020,0,266,77,1,0
20,5.5,6.65,0.0,25.4,2020,0,266,77,1,0
21,6.2,7.0,0.0,24.85,2020,0,253,77,1,0
21,6.4,5.25,0.0,24.85,2020,0,253,77,1,0
22,5.1,6.95,0.0,24.35,2020,0,169,77,1,0
22,5.1,7.2,0.0,24.35,2020,0,169,77,1,0
1,7.1,8.65,0.0,15.75,2014,0,7,62,1,0
2,7.4,8.433,0.1,15.733,2014,0,12,40,1,0
3,7.0,8.7,0.0,15.7,2014,1,8,9,1,0
4,6.7,8.9,0.0,15.6,2014,0,11,77,1,0
5,6.5,9.0,0.0,15.5,2014,0,13,42,1,0
6,7.1,8.366,0.0,15.466,2014,0,19,40,1,0
7,6.6,8.55,0.1,15.05,2014,0,10,30,1,0
8,6.6,7.3,0.0,13.9,2014,0,18,25,1,0
1,7.1,8.6,0.0,15.7,2014,0,7,62,1,0
2,6.6,8.933,0.0,15.533,2014,0,10,30,1,0
3,6.5,8.9,0.0,15.4,2014,0,4,28,1,0
4,6.5,8.9,0.0,15.4,2014,0,0,36,1,0
5,6.7,8.733,-0.1,15.333,2014,1,16,28,1,0
6,6.4,8.841,0.0,15.241,2014,0,9,8,1,0
7,6.4,8.5,0.0,14.9,2014,0,3,67,1,0
8,6.5,8.366,0.0,14.866,2014,0,5,62,1,0
1,7.6,8.633,0.0,16.233,2015,0,12,40,1,0
2,6.8,8.766,0.0,15.566,2015,1,16,28,1,0
3,6.7,8.5,0.0,15.2,2015,0,18,25,1,0
4,6.7,8.466,0.0,15.166,2015,0,6,13,1,0
5,6.5,8.6,0.0,15.1,2015,0,4,28,1,0
6,6.8,8.133,0.0,14.933,2015,0,13,42,1,0
